#gene_id	transcript_id	type	start(0-based)	end(exclusive)	strand	contig	assembly
ENSG00000240972	ENST00000215754	exon	24236190	24236769	+	chr22	GRCh37.p13
ENSG00000240972	ENST00000215754	exon	24236958	24237131	+	chr22	GRCh37.p13
ENSG00000240972	ENST00000215754	exon	24237226	24237413	+	chr22	GRCh37.p13
ENSG00000240972	ENST00000215754	CDS	24236661	24236769	+	chr22	GRCh37.p13
ENSG00000240972	ENST00000215754	CDS	24236958	24237131	+	chr22	GRCh37.p13
ENSG00000240972	ENST00000215754	CDS	24237226	24237290	+	chr22	GRCh37.p13
ENSG00000240972	ENST00000215754	five_prime_utr	24236190	24236661	+	chr22	GRCh37.p13
ENSG00000240972	ENST00000215754	three_prime_utr	24237293	24237413	+	chr22	GRCh37.p13
ENSG00000240972	ENST00000465752	exon	24236636	24236769	+	chr22	GRCh37.p13
ENSG00000240972	ENST00000465752	exon	24236958	24237414	+	chr22	GRCh37.p13
ENSG00000240972	ENST00000498385	exon	24236884	24237131	+	chr22	GRCh37.p13
ENSG00000240972	ENST00000498385	exon	24237226	24237414	+	chr22	GRCh37.p13
